side,expiration,strike,bid,openInterest,impliedVolatility,spot,timestamp
C,2025-10-21,500.0,170.31,1,1.3828155859374998,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,540.0,130.3,2,1.2324257128906249,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,550.0,120.3,1,1.1347699511718752,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,585.0,85.32,1,0.7187528125,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,600.0,70.32,10,0.62305064453125,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,610.0,60.54,53,0.6084023535156251,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,611.0,59.33,3,0.8579115771484375,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,613.0,57.37,3,0.5117236328125,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,615.0,55.83,5,0.6132851171875001,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,617.0,53.45,1,0.5029346582031251,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,619.0,51.45,1,0.7675804492187501,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,620.0,50.81,12,0.5625043750000001,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,624.0,46.34,2,0.7072783178710937,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,625.0,45.47,6,0.6967803759765626,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,628.0,42.4,1,0.6638217211914064,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,630.0,40.65,1,0.6438023901367188,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,631.0,39.39,1,0.6254920263671876,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,635.0,35.65,34,0.5844768115234374,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,636.0,34.4,2,0.5734905932617188,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,637.0,33.4,33,0.5542036767578126,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,638.0,32.42,4,0.5773968041992188,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,639.0,32.71,1,0.3940490283203125,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,640.0,31.71,40,0.38623660644531244,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,641.0,30.72,3,0.375982802734375,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,642.0,29.64,11,0.34839518798828123,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,643.0,28.71,7,0.35767243896484374,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,644.0,27.73,12,0.34717449707031245,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,645.0,26.63,36,0.32080757324218745,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,646.0,25.73,28,0.3266668896484375,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,647.0,24.69,19,0.30274134765625,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,648.0,23.73,3,0.3002999658203125,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,649.0,22.71,13,0.2863840893554687,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,650.0,21.71,339,0.2758861474609374,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,651.0,20.7,127,0.26367923828125,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,652.0,19.72,39,0.2553785400390626,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,653.0,18.79,198,0.2573316455078125,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,654.0,17.79,228,0.24658956542968752,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,655.0,16.83,785,0.23828886718749998,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,656.0,15.77,339,0.22022264160156246,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,657.0,14.83,1085,0.21704884521484374,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,658.0,13.81,528,0.20313296874999998,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,659.0,12.82,480,0.19165847412109377,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,660.0,11.91,1506,0.1914143359375,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,661.0,10.93,884,0.18128260131835935,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,662.0,9.96,1399,0.17176121215820314,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,663.0,9.01,2056,0.1626060302734375,671.5189819335938,2025-10-20_15-26-55_ET
C,2025-10-21,664.0,8.07,1947,0.15369498657226563,671.5189819335938,2025-10-20_15-26-55_ET
